Total,Ace,Pair,Up Card,Action
21,1,0,11,S
21,1,0,10,S
21,1,0,9,S
21,1,0,8,S
21,1,0,7,S
21,1,0,6,S
21,1,0,5,S
21,1,0,4,S
21,1,0,3,S
21,1,0,2,S
20,0,0,11,S
20,0,0,10,S
20,0,0,9,S
20,0,0,8,S
20,0,0,7,S
20,0,0,6,S
20,0,0,5,S
20,0,0,4,S
20,0,0,3,S
20,0,0,2,S
20,1,0,11,S
20,1,0,10,S
20,1,0,9,S
20,1,0,8,S
20,1,0,7,S
20,1,0,6,S
20,1,0,5,S
20,1,0,4,S
20,1,0,3,S
20,1,0,2,S
20,1,1,11,S
20,1,1,10,S
20,1,1,9,S
20,1,1,8,S
20,1,1,7,S
20,1,1,6,S
20,1,1,5,S
20,1,1,4,S
20,1,1,3,S
20,1,1,2,S
19,0,0,11,S
19,0,0,10,S
19,0,0,9,S
19,0,0,8,S
19,0,0,7,S
19,0,0,6,S
19,0,0,5,S
19,0,0,4,S
19,0,0,3,S
19,0,0,2,S
19,1,0,11,S
19,1,0,10,S
19,1,0,9,S
19,1,0,8,S
19,1,0,7,S
19,1,0,6,Ds
19,1,0,5,S
19,1,0,4,S
19,1,0,3,S
19,1,0,2,S
18,0,0,11,S
18,0,0,10,S
18,0,0,9,S
18,0,0,8,S
18,0,0,7,S
18,0,0,6,S
18,0,0,5,S
18,0,0,4,S
18,0,0,3,S
18,0,0,2,S
18,0,1,11,S
18,0,1,10,S
18,0,1,9,Y
18,0,1,8,Y
18,0,1,7,S
18,0,1,6,Y
18,0,1,5,Y
18,0,1,4,Y
18,0,1,3,Y
18,0,1,2,Y
18,1,0,11,H
18,1,0,10,H
18,1,0,9,H
18,1,0,8,S
18,1,0,7,S
18,1,0,6,Ds
18,1,0,5,Ds
18,1,0,4,Ds
18,1,0,3,Ds
18,1,0,2,Ds
17,0,0,11,S
17,0,0,10,S
17,0,0,9,S
17,0,0,8,S
17,0,0,7,S
17,0,0,6,S
17,0,0,5,S
17,0,0,4,S
17,0,0,3,S
17,0,0,2,S
17,1,0,11,H
17,1,0,10,H
17,1,0,9,H
17,1,0,8,H
17,1,0,7,H
17,1,0,6,D
17,1,0,5,D
17,1,0,4,D
17,1,0,3,D
17,1,0,2,H
16,0,0,11,H
16,0,0,10,H
16,0,0,9,H
16,0,0,8,H
16,0,0,7,H
16,0,0,6,S
16,0,0,5,S
16,0,0,4,S
16,0,0,3,S
16,0,0,2,S
16,0,1,11,Y
16,0,1,10,Y
16,0,1,9,Y
16,0,1,8,Y
16,0,1,7,Y
16,0,1,6,Y
16,0,1,5,Y
16,0,1,4,Y
16,0,1,3,Y
16,0,1,2,Y
16,1,0,11,H
16,1,0,10,H
16,1,0,9,H
16,1,0,8,H
16,1,0,7,H
16,1,0,6,D
16,1,0,5,D
16,1,0,4,D
16,1,0,3,H
16,1,0,2,H
15,0,0,11,H
15,0,0,10,H
15,0,0,9,H
15,0,0,8,H
15,0,0,7,H
15,0,0,6,S
15,0,0,5,S
15,0,0,4,S
15,0,0,3,S
15,0,0,2,S
15,1,0,11,H
15,1,0,10,H
15,1,0,9,H
15,1,0,8,H
15,1,0,7,H
15,1,0,6,D
15,1,0,5,D
15,1,0,4,D
15,1,0,3,H
15,1,0,2,H
14,0,0,11,H
14,0,0,10,H
14,0,0,9,H
14,0,0,8,H
14,0,0,7,H
14,0,0,6,S
14,0,0,5,S
14,0,0,4,S
14,0,0,3,S
14,0,0,2,S
14,0,1,11,H
14,0,1,10,H
14,0,1,9,H
14,0,1,8,H
14,0,1,7,Y
14,0,1,6,Y
14,0,1,5,Y
14,0,1,4,Y
14,0,1,3,Y
14,0,1,2,Y
14,1,0,11,H
14,1,0,10,H
14,1,0,9,H
14,1,0,8,H
14,1,0,7,H
14,1,0,6,D
14,1,0,5,D
14,1,0,4,H
14,1,0,3,H
14,1,0,2,H
13,0,0,11,H
13,0,0,10,H
13,0,0,9,H
13,0,0,8,H
13,0,0,7,H
13,0,0,6,S
13,0,0,5,S
13,0,0,4,S
13,0,0,3,S
13,0,0,2,S
13,1,0,11,H
13,1,0,10,H
13,1,0,9,H
13,1,0,8,H
13,1,0,7,H
13,1,0,6,D
13,1,0,5,D
13,1,0,4,H
13,1,0,3,H
13,1,0,2,H
12,0,0,11,H
12,0,0,10,H
12,0,0,9,H
12,0,0,8,H
12,0,0,7,H
12,0,0,6,S
12,0,0,5,S
12,0,0,4,S
12,0,0,3,H
12,0,0,2,H
12,0,1,11,H
12,0,1,10,H
12,0,1,9,H
12,0,1,8,H
12,0,1,7,H
12,0,1,6,Y
12,0,1,5,Y
12,0,1,4,Y
12,0,1,3,Y
12,0,1,2,YN
12,1,1,11,Y
12,1,1,10,Y
12,1,1,9,Y
12,1,1,8,Y
12,1,1,7,Y
12,1,1,6,Y
12,1,1,5,Y
12,1,1,4,Y
12,1,1,3,Y
12,1,1,2,Y
11,0,0,11,D
11,0,0,10,D
11,0,0,9,D
11,0,0,8,D
11,0,0,7,D
11,0,0,6,D
11,0,0,5,D
11,0,0,4,D
11,0,0,3,D
11,0,0,2,D
10,0,0,11,H
10,0,0,10,H
10,0,0,9,D
10,0,0,8,D
10,0,0,7,D
10,0,0,6,D
10,0,0,5,D
10,0,0,4,D
10,0,0,3,D
10,0,0,2,D
10,0,1,11,D
10,0,1,10,D
10,0,1,9,D
10,0,1,8,D
10,0,1,7,D
10,0,1,6,D
10,0,1,5,D
10,0,1,4,D
10,0,1,3,D
10,0,1,2,D
9,0,0,11,H
9,0,0,10,H
9,0,0,9,H
9,0,0,8,H
9,0,0,7,H
9,0,0,6,D
9,0,0,5,D
9,0,0,4,D
9,0,0,3,D
9,0,0,2,H
8,0,0,11,H
8,0,0,10,H
8,0,0,9,H
8,0,0,8,H
8,0,0,7,H
8,0,0,6,H
8,0,0,5,H
8,0,0,4,H
8,0,0,3,H
8,0,0,2,H
8,0,1,11,H
8,0,1,10,H
8,0,1,9,H
8,0,1,8,H
8,0,1,7,H
8,0,1,6,YN
8,0,1,5,YN
8,0,1,4,H
8,0,1,3,H
8,0,1,2,H
7,0,0,11,H
7,0,0,10,H
7,0,0,9,H
7,0,0,8,H
7,0,0,7,H
7,0,0,6,H
7,0,0,5,H
7,0,0,4,H
7,0,0,3,H
7,0,0,2,H
6,0,0,11,H
6,0,0,10,H
6,0,0,9,H
6,0,0,8,H
6,0,0,7,H
6,0,0,6,H
6,0,0,5,H
6,0,0,4,H
6,0,0,3,H
6,0,0,2,H
6,0,1,11,H
6,0,1,10,H
6,0,1,9,H
6,0,1,8,H
6,0,1,7,Y
6,0,1,6,Y
6,0,1,5,Y
6,0,1,4,Y
6,0,1,3,YN
6,0,1,2,YN
5,0,0,11,H
5,0,0,10,H
5,0,0,9,H
5,0,0,8,H
5,0,0,7,H
5,0,0,6,H
5,0,0,5,H
5,0,0,4,H
5,0,0,3,H
5,0,0,2,H
4,0,0,11,H
4,0,0,10,H
4,0,0,9,H
4,0,0,8,H
4,0,0,7,H
4,0,0,6,H
4,0,0,5,H
4,0,0,4,H
4,0,0,3,H
4,0,0,2,H
4,0,1,11,H
4,0,1,10,H
4,0,1,9,H
4,0,1,8,H
4,0,1,7,Y
4,0,1,6,Y
4,0,1,5,Y
4,0,1,4,Y
4,0,1,3,YN
4,0,1,2,YN
